location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
1000,APARTMENT,APARTMENT,370000,2,92,0,0,0,1,4,0,,,2,0,JUST_RENOVATED
2830,HOUSE,HOUSE,325000,2,190,1,0,0,1,,0,,142,2,0,
2850,APARTMENT,APARTMENT,239000,3,139,1,0,0,1,6,0,,,,0,
8530,APARTMENT,APARTMENT,210000,1,76,0,0,0,1,8,0,,,,0,
6780,HOUSE,HOUSE,220000,2,90,0,0,0,0,,0,,74,3,0,
6010,HOUSE,HOUSE,159900,4,150,1,0,0,1,5,1,100,100,,0,GOOD
2840,HOUSE,HOUSE,369000,3,180,1,0,0,1,,0,,354,,0,AS_NEW
3460,HOUSE,HOUSE,389000,3,150,1,0,0,1,40,0,,1589,4,0,
9220,APARTMENT,APARTMENT,254000,2,102,1,0,0,1,9,0,,,2,0,
1190,HOUSE,MANSION,1450000,8,640,1,0,0,1,40,1,800,1032,2,0,
9500,APARTMENT,APARTMENT,259000,3,142,1,0,0,1,14,0,,,2,0,
1000,APARTMENT,APARTMENT,293000,2,90,1,0,0,1,15,0,,,,0,AS_NEW
1330,HOUSE,VILLA,1350000,7,350,0,0,1,0,,0,,7870,4,0,AS_NEW
8660,APARTMENT,APARTMENT,179000,1,,0,1,0,1,4,0,,,2,0,
8300,HOUSE,HOUSE,625000,3,154,1,0,0,1,,1,,157,,0,AS_NEW
1050,APARTMENT,APARTMENT,300000,2,65,1,0,0,1,6,0,,,2,0,
3271,HOUSE,HOUSE,140000,3,,0,0,0,0,,0,,1111,3,0,
1360,HOUSE,HOUSE,245000,2,110,1,0,0,0,,0,,1374,4,0,
